conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username
1848086375205360069,Sun Oct 20 19:38:22 +0000 2024,0,Bhabinkamtibmas Desa Bongas melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/fMttDhe5fs,1848086375205360069,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086375205360069,1366579291249541122,polsekcililin
1848086196570017965,Sun Oct 20 19:37:39 +0000 2024,0,Bhabinkamtibmas Desa Batulayang gmelaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/Z9KiTdCqA8,1848086196570017965,,,in,,0,0,0,https://x.com/polsekcililin/status/1848086196570017965,1366579291249541122,polsekcililin
1846737985754337421,Sun Oct 20 19:34:19 +0000 2024,0,@islah_bahrawi Polri presisi buktikan komitmen untuk rakyat! #PolriPresisi,1848085354919960725,,islah_bahrawi,in,,0,0,0,https://x.com/leeann_brooklyn/status/1848085354919960725,2471343223,leeann_brooklyn
"1848085345323409409,Sun Oct 20 19:34:16 +0000 2024,0,Kami Rakyat Indonesia dengan ini menyatakan Muak dan Bosan dengan Demo dan unjuk rasa serta cacian yang di lakukan oleh pembenci pemerintah RI yang Syah.Kami butuh hidup Aman dan nyaman Tolong kepada Pemerintah TNI dan Polri agar mereka di tumpas habis sampai ke akar-akarnya.,1848085345323409409,,,in,""Denpasar Selatan, Indonesia"",0,0,0,https://x.com/MiningTvvee/status/1848085345323409409,1590381222903287808,MiningTvvee"
"1848076902428524981,Sun Oct 20 19:00:43 +0000 2024,0,""BG nih karirnya kok ga kepentok pentok ya padahal dulu bikin satu negara riweuh. Perdana nih dari polri jd menkopolhukam yg biasanya didominasi TNI. Menyalaaa ibu banteng "",1848076902428524981,,,in,⚛,0,1,0,https://x.com/MizzKriwil/status/1848076902428524981,962590920557211648,MizzKriwil"
1848012291448647719,Sun Oct 20 18:51:31 +0000 2024,4,@AritRompal @joandreko @gongxifdl @IndraDilianto 1. Tidak ada UU TNI &amp
1848074389558039032,Sun Oct 20 18:50:44 +0000 2024,0,payah @DivHumas_Polri,1848074389558039032,,,in,9th circle of hell,0,0,0,https://x.com/sugar_deady/status/1848074389558039032,1577107534200311808,sugar_deady
"1848069898595140063,Sun Oct 20 18:48:58 +0000 2024,0,""Oiya pak tolong baret kami diganti sama yg dulu aja bukan anggota tni polri tpi pake baret agak risih mana komuk ku tuh tembem pake baret apa ndak makin mbulet aku "",1848073945230258387,,mizukiharuu,in,ID,0,0,0,https://x.com/mizukiharuu/status/1848073945230258387,630028701,mizukiharuu"
1847630961875538007,Sun Oct 20 18:42:50 +0000 2024,0,@CCICPolri @GessyHGanie @Boediantar4 @DivHumas_Polri @judionline1001 @ditkrimsusPMJ @facebook_ID @kemkominfo @jppikominfo @mabespolrinews @mabespolri_ @RaffiAhmadLagi lapor pak ini selebgram meresahkan banget promosiin judi online secara terang an bahkan setiap hari live judol di ig nya https://t.co/iHmkoEGnId,1848072399289532604,https://pbs.twimg.com/media/GaWsDU7bIAANoC5.jpg,CCICPolri,in,,0,1,0,https://x.com/Alex40105437/status/1848072399289532604,1423508423723732996,Alex40105437
"1848019721029091533,Sun Oct 20 18:41:32 +0000 2024,0,@kompascom MENTERI GAK ASASI MANUSIA BISA APA???!!. APA GAK SALAH @prabowo ??. TITIP KEINGINAN RAKYAT PAK @prabowo... UU HUKUM MATI KORUPTOR DAN BUBARKAN INSTITUSI POLRI SERTA AUDIT KAPOLRI ERA JOKOWI YG NOTABENE JENDERAL GAK BISA KERJA!!!. @prabowo @gibran_tweet @mohmahfudmd,1848072075564683746,,kompascom,in,""Serpong, Indonesia"",0,0,0,https://x.com/M17522147/status/1848072075564683746,891883949571457024,M17522147"
